1660595529,"[0.008544921875, 0.059814453125, 1.0693359375]","[3.33404541015625, 5.126953125, 4.21142578125]","[-73, 332, -972]"
1660595530,"[-0.0263671875, 0.06201171875, 1.0625]","[3.662109375, 6.9122314453125, 4.57763671875]","[-90, 382, -1043]"
1660595530,"[0.013427734375, 0.038818359375, 1.083984375]","[3.68499755859375, 4.8828125, 6.08062744140625]","[-94, 378, -1054]"
1660595530,"[0.0361328125, 0.119140625, 1.1044921875]","[3.42559814453125, 5.584716796875, 3.326416015625]","[-90, 384, -1050]"
1660595531,"[-0.003173828125, 0.0419921875, 1.118408203125]","[4.852294921875, 6.4239501953125, 5.25665283203125]","[-83, 384, -1043]"
1660595531,"[-0.02783203125, 0.040283203125, 1.109375]","[3.1890869140625, 6.2103271484375, 3.39508056640625]","[-99, 381, -1042]"
1660595532,"[0.017333984375, 0.0947265625, 1.0556640625]","[2.7008056640625, 5.34820556640625, 5.096435546875]","[-84, 381, -1047]"
1660595532,"[-0.02197265625, 0.083740234375, 1.12744140625]","[2.25830078125, 4.669189453125, 5.5694580078125]","[-88, 389, -1048]"
1660595533,"[-0.0185546875, 0.03076171875, 1.112060546875]","[3.0364990234375, 5.16510009765625, 2.99072265625]","[-87, 390, -1049]"
1660595533,"[-0.031982421875, 0.02783203125, 1.123291015625]","[3.265380859375, 6.011962890625, 5.27191162109375]","[-89, 378, -1040]"
1660595534,"[-0.048828125, -0.011474609375, 1.10400390625]","[3.90625, 5.72967529296875, 4.38690185546875]","[-93, 389, -1060]"
1660595534,"[-0.04150390625, 0.059814453125, 1.107177734375]","[1.89971923828125, 4.7454833984375, 4.44793701171875]","[-78, 334, -958]"
1660595535,"[0.02978515625, 0.08203125, 1.115966796875]","[2.7618408203125, 7.1258544921875, 5.21087646484375]","[-104, 372, -1039]"
1660595535,"[0.025146484375, 0.058349609375, 1.09326171875]","[2.87628173828125, 8.09478759765625, 4.53948974609375]","[-94, 390, -1040]"
1660595536,"[-0.070556640625, 0.05810546875, 1.072265625]","[3.10516357421875, 6.2408447265625, 2.69317626953125]","[-95, 387, -1036]"
1660595536,"[0.049072265625, 0.074462890625, 1.087646484375]","[3.34930419921875, 5.54656982421875, 3.90625]","[-93, 382, -1034]"
1660595536,"[0.003662109375, 0.08642578125, 1.1162109375]","[2.25067138671875, 5.55419921875, 3.94439697265625]","[-84, 374, -1038]"
1660595537,"[0.026611328125, 0.044189453125, 1.133544921875]","[3.1585693359375, 5.08880615234375, 3.99017333984375]","[-84, 326, -973]"
1660595537,"[0.0361328125, 0.06787109375, 1.07666015625]","[2.12860107421875, 5.24139404296875, 5.08880615234375]","[-81, 372, -1039]"
1660595538,"[-0.03125, 0.002197265625, 1.103271484375]","[4.08935546875, 6.15692138671875, 4.2724609375]","[-108, 388, -1028]"
1660595538,"[0.0126953125, 0.031982421875, 1.114990234375]","[2.4566650390625, 4.608154296875, 5.95855712890625]","[-107, 387, -1032]"
1660595539,"[0.01953125, 0.032958984375, 1.09716796875]","[4.41741943359375, 7.40814208984375, 4.21905517578125]","[-93, 384, -1039]"
1660595539,"[-0.026123046875, 0.06103515625, 1.103271484375]","[3.39508056640625, 5.95855712890625, 5.4931640625]","[-83, 327, -974]"
1660595539,"[0.024169921875, 0.068359375, 1.100830078125]","[3.73077392578125, 4.92095947265625, 5.1727294921875]","[-88, 387, -1039]"
1660595540,"[-0.000732421875, 0.048828125, 1.072998046875]","[3.04412841796875, 6.46209716796875, 3.19671630859375]","[-89, 395, -1042]"
1660595540,"[0.026123046875, 0.086181640625, 1.0966796875]","[3.0517578125, 5.157470703125, 4.9591064453125]","[-84, 388, -1051]"
1660595541,"[-0.012451171875, 0.06640625, 1.123046875]","[2.86865234375, 5.21087646484375, 3.509521484375]","[-89, 378, -1049]"
1660595541,"[0.011474609375, 0.107177734375, 1.106689453125]","[3.66973876953125, 6.87408447265625, 5.83648681640625]","[-93, 384, -1050]"
1660595542,"[-0.042724609375, 0.038330078125, 1.073974609375]","[3.173828125, 6.59942626953125, 5.1727294921875]","[-91, 381, -1042]"
1660595542,"[-0.05029296875, 0.068115234375, 1.1103515625]","[2.899169921875, 4.79888916015625, 4.791259765625]","[-93, 384, -1032]"
1660595543,"[-0.024658203125, 0.01416015625, 1.083740234375]","[2.3956298828125, 5.77545166015625, 5.2032470703125]","[-82, 330, -975]"
1660595543,"[-0.035400390625, 0.03466796875, 1.105712890625]","[2.8839111328125, 6.04248046875, 2.9449462890625]","[-90, 377, -1043]"
1660595543,"[0.005126953125, 0.041259765625, 1.124755859375]","[2.5482177734375, 4.90570068359375, 4.6234130859375]","[-95, 384, -1050]"
1660595544,"[-0.0166015625, 0.03564453125, 1.100830078125]","[4.4097900390625, 5.889892578125, 5.08880615234375]","[-90, 382, -1036]"
1660595544,"[-0.021484375, 0.007568359375, 1.0771484375]","[2.75421142578125, 5.0506591796875, 2.50244140625]","[-94, 386, -1038]"
1660595545,"[0.010009765625, 0.0732421875, 1.10791015625]","[3.47137451171875, 5.60760498046875, 6.08062744140625]","[-93, 384, -1041]"
1660595545,"[-0.034912109375, 0.012939453125, 1.11181640625]","[1.80816650390625, 4.180908203125, 6.1798095703125]","[-90, 384, -1046]"
